index,父微博用户ID,count,total,percent,followers,root,CphsI
3.0,b958d07f1557dd534eb991855cc88dbb,59,1413,4.1755130927105455,862,6c87a723ba495b516ccc5131f7737f98,5.085264133456905
4.0,20f71cd638c67f2764b4108fb3b8f7c8,51,1413,3.6093418259023364,972,6c87a723ba495b516ccc5131f7737f98,4.395736793327155
5.0,61344f8424cd53f6d8c09e38931f696d,44,1413,3.113941967445152,560,6c87a723ba495b516ccc5131f7737f98,3.792400370713624
6.0,8ef47ec08e9d12481fa20d49031659f5,38,1413,2.6893135173389955,448,6c87a723ba495b516ccc5131f7737f98,3.2752548656163114
7.0,3492a8ac0502fc49768f08f809db1c48,23,1413,1.6277423920736025,522,6c87a723ba495b516ccc5131f7737f98,1.9823911028730308
8.0,b3de79266b470ab423ca341c2ed3e27d,21,1413,1.4861995753715498,327,6c87a723ba495b516ccc5131f7737f98,1.8100092678405932
9.0,676d338a89e1189a71be33bdcef71b01,18,1413,1.2738853503184713,480,6c87a723ba495b516ccc5131f7737f98,1.5514365152919372
10.0,6f8c2d68850f37da71dae3157d24df5e,16,1413,1.132342533616419,202,6c87a723ba495b516ccc5131f7737f98,1.3790546802594996
11.0,26c25b576dd46e3a0c8a1ae8cf4509c3,12,1413,0.8492569002123143,233,6c87a723ba495b516ccc5131f7737f98,1.0342910101946248
1.0,08cdef76074f5bf9bd0e53803fe8561f,835,1895,44.063324538258584,33,08cdef76074f5bf9bd0e53803fe8561f,37.97639608520437
2.0,f911a0b97f2bbfd1244b92b1123c0de3,569,1895,30.02638522427441,600,08cdef76074f5bf9bd0e53803fe8561f,25.878526194588368
3.0,e44f5031859d309f3353d2874ffa7192,125,1895,6.596306068601582,2193,08cdef76074f5bf9bd0e53803fe8561f,5.685089234312032
4.0,ca98347437f9505c19e5703e8fcb0a37,24,1895,1.2664907651715045,302,08cdef76074f5bf9bd0e53803fe8561f,1.09153713298791
1.0,077e80d1749150eaf451bedd11f72b1a,6,2100,0.2857142857142857,315,a3c42105d7680391500d192f6a87c418,4.2
2.0,c70267962b6c607bdb6e46f237b3c333,5,2100,0.2380952380952381,156,a3c42105d7680391500d192f6a87c418,3.5
3.0,bf46393639963e4f47f48431b3d4bff2,2,2100,0.09523809523809523,382,a3c42105d7680391500d192f6a87c418,1.4
4.0,7c2057405c140e0afbbea067ba6d6521,2,2100,0.09523809523809523,12,a3c42105d7680391500d192f6a87c418,1.4
5.0,ff7b8b863f1c03bda109b6edec5672ff,2,2100,0.09523809523809523,3,a3c42105d7680391500d192f6a87c418,1.4
1.0,f800af585a8a364091877f1a78f8042d,134,6221,2.153994534640733,421,12b3cbaada7f85a5b188488acf0c0623,54.58189655172414
2.0,bc7e4edf985d1da649b7e03556a5ac07,31,6221,0.4983121684616621,358,12b3cbaada7f85a5b188488acf0c0623,12.627155172413794
3.0,3f0a38ee5bc82385e2bcc8d863a94bc5,15,6221,0.2411187911911269,47,12b3cbaada7f85a5b188488acf0c0623,6.109913793103448
4.0,b6330966f6746bee4869e87eab41c198,9,6221,0.14467127471467608,47,12b3cbaada7f85a5b188488acf0c0623,3.665948275862069
5.0,bc70663bcd804c33683e1e3eaf708881,8,6221,0.12859668863526766,36,12b3cbaada7f85a5b188488acf0c0623,3.2586206896551726
6.0,646d43ccb608675073ed75c40b23fa2f,6,6221,0.09644751647645074,20,12b3cbaada7f85a5b188488acf0c0623,2.4439655172413794
7.0,048a97818c7f5918bb92b98922e97916,6,6221,0.09644751647645074,12,12b3cbaada7f85a5b188488acf0c0623,2.4439655172413794
8.0,e1316d1dc863d17e90a681339aebcfd7,5,6221,0.08037293039704227,17,12b3cbaada7f85a5b188488acf0c0623,2.0366379310344827
9.0,5b5bd5208b5b14f999faf5052aaaaf84,5,6221,0.08037293039704227,18,12b3cbaada7f85a5b188488acf0c0623,2.0366379310344827
10.0,02bdd88b827d26a27b6c728d75ceeccd,4,6221,0.06429834431763383,5,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
11.0,d8ff1edfe8b38b9b2ccea8364d7c2e86,4,6221,0.06429834431763383,8,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
12.0,3e3a2303634455f43d2ab7de1a77adeb,4,6221,0.06429834431763383,5,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
13.0,9a836d50f0cd344cda20bf048327cbb7,4,6221,0.06429834431763383,23,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
14.0,5ff5f9b629c033cca1354b76f8da58f7,4,6221,0.06429834431763383,24,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
15.0,6f772fa63808357ff9db5d9acd55ec60,4,6221,0.06429834431763383,13,12b3cbaada7f85a5b188488acf0c0623,1.6293103448275863
16.0,834764faba8ad4e78bc68f48f5f063f7,3,6221,0.04822375823822537,21,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
17.0,564a5b8c85ca02f6e777f8de28a69dfc,3,6221,0.04822375823822537,3,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
18.0,f6750891192ae3f7fdecb9f919d4ce0a,3,6221,0.04822375823822537,7,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
19.0,c482b25d5899a1b2c2fc781def600097,3,6221,0.04822375823822537,28,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
20.0,b5f577f6b4762804ef97dfb7572bd0bd,3,6221,0.04822375823822537,27,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
21.0,8efa4be1109ee05a4c67f294bcf88e2a,3,6221,0.04822375823822537,5,12b3cbaada7f85a5b188488acf0c0623,1.2219827586206897
1.0,4c9e111bfaa03881a458a460b0722709,1901,3024,62.86375661375661,29,4c9e111bfaa03881a458a460b0722709,75.202958376333
2.0,a910804dcbc2f02ce0de7de89055620e,271,3024,8.961640211640212,5924,4c9e111bfaa03881a458a460b0722709,10.720674234606124
3.0,e728aa4d2d8ca96d73b8fcccace8ae02,217,3024,7.175925925925926,1575,4c9e111bfaa03881a458a460b0722709,8.584451324389406
4.0,5dd5daff5f842fc34c2af968efa64211,92,3024,3.0423280423280423,211,4c9e111bfaa03881a458a460b0722709,3.6394908840729276
5.0,a75aa0e8bd656df0d430a84393b3801b,74,3024,2.447089947089947,1701,4c9e111bfaa03881a458a460b0722709,2.9274165806673547
6.0,de573b15076940f1a2e51c3c48e6227a,48,3024,1.5873015873015872,690,4c9e111bfaa03881a458a460b0722709,1.8988648090815274
7.0,04ab8c39ae037bd7848b3628a0ec203e,41,3024,1.3558201058201058,1106,4c9e111bfaa03881a458a460b0722709,1.6219470244238048
8.0,e44f5031859d309f3353d2874ffa7192,40,3024,1.3227513227513228,2193,4c9e111bfaa03881a458a460b0722709,1.582387340901273
1.0,3e9e04cfa8924207ae0d0ced47cca7ba,3165,3324,95.21660649819496,2138,3e9e04cfa8924207ae0d0ced47cca7ba,43.22160148975791
