父微博用户ID,count,total,percent,followers,root,TimeDIST,NetDIST
3946b2e1829cee6dc19464d3b2064df4,33,7914,0.4169825625473844,983,c7af761e0f90995b5a9a0827276f0512,25,5
d7d125f9605eb875d04cb2940202b7c7,33,7914,0.4169825625473844,407,c7af761e0f90995b5a9a0827276f0512,48,3
e36127e1d3fff51c63a84354a7e9a193,34,8200,0.4146341463414634,570,12d856f800dc42c4c5229b99cbeb4053,37,1
291fe5cd9999a9c68cd4ea780d1ff5af,34,3306,1.02843315184513,189,bd996818a67dad91fc0fb67fe78a6bc3,1089,1
95f27391d531f5c81412213294304065,35,7914,0.4422542330048016,1364,c7af761e0f90995b5a9a0827276f0512,228,2
ff9364be5d4ec20fe38108ebc96d9671,35,6652,0.5261575466025256,190,14baec16e62afaf8aac187f828122d21,378,4
800aebd10aa859549712af7faa264bed,36,4961,0.7256601491634751,86,76bff4a214153e162c98d7ff7d7f9e06,19,2
cf949cfb65257a8c6010b4173f13a7d6,37,4747,0.7794396460922688,1463,59201a4cb94b46ae9ef8a16b9cdec55e,618,3
28f7dce3fbe473c4e8bfcf51dda3cc3a,38,7914,0.4801617386909275,89,c7af761e0f90995b5a9a0827276f0512,52,8
716c769bb6d6aaf78ebb95a7ebab582d,40,3859,1.0365379632029024,725,a52c51402a6f2f708767e38a351e2d00,155,1
b1bf8e72bfaa33d608dc77a7c93fd397,42,3912,1.0736196319018405,563,df319c996508d16f19cc687aa7e19a83,133,4
291fe5cd9999a9c68cd4ea780d1ff5af,42,4961,0.8466035073573877,189,76bff4a214153e162c98d7ff7d7f9e06,30,1
cca0c77c6e8d5b3f373b5ad974f3e4f9,42,7914,0.530705079605762,345,c7af761e0f90995b5a9a0827276f0512,45,3
d9f5bbb77995664d6afee258e73e5da8,43,7914,0.5433409148344706,1298,c7af761e0f90995b5a9a0827276f0512,124,3
61344f8424cd53f6d8c09e38931f696d,44,1413,3.1139419674451516,560,6c87a723ba495b516ccc5131f7737f98,630,2
d02fe5ae9d34938a89bf00eb4b457152,45,5648,0.796742209631728,1197,318fc95107fd4ff003a3167940091152,27,1
191847c2b9342d87ff5693fd22d7b6be,46,6652,0.6915213469633193,236,14baec16e62afaf8aac187f828122d21,373,2
a7dd07d3655174cb41e7c95d503a1a5c,46,3912,1.1758691206543967,595,df319c996508d16f19cc687aa7e19a83,25,3
de573b15076940f1a2e51c3c48e6227a,48,3024,1.5873015873015872,690,4c9e111bfaa03881a458a460b0722709,1246,1
a1518fbc4d82b37dcf7d2a603d567ad5,50,7914,0.6317917614354309,905,c7af761e0f90995b5a9a0827276f0512,142,1
20f71cd638c67f2764b4108fb3b8f7c8,51,1413,3.609341825902336,972,6c87a723ba495b516ccc5131f7737f98,340,2
030e7716671a76d35daef80682dc8766,53,8200,0.6463414634146342,1155,12d856f800dc42c4c5229b99cbeb4053,84,3
cad59422d0843f756f7e04b0925dcb5b,54,6652,0.8117859290438966,41,14baec16e62afaf8aac187f828122d21,960,5
32513335e97e6d5161b1115b5937827d,58,6652,0.8719182200841852,146,14baec16e62afaf8aac187f828122d21,987,2
6d95e97915e780cbfb466933382150f6,58,3912,1.4826175869120657,537,df319c996508d16f19cc687aa7e19a83,22,4
b958d07f1557dd534eb991855cc88dbb,59,1413,4.1755130927105455,862,6c87a723ba495b516ccc5131f7737f98,317,5
5f3c189c72bf5a9feaadfb3421054659,60,7914,0.7581501137225171,15,c7af761e0f90995b5a9a0827276f0512,266,4
